"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","CHI","-0.135","40.0%","-0.098","43.7%","-0.217","31.8%"
"2","","MIN","-0.098","42.4%","-0.057","44.7%","-0.158","39.0%"
"3","","BUF","-0.081","42.9%","-0.065","45.0%","-0.102","40.1%"
"4","","BAL","-0.071","39.6%","-0.034","41.1%","-0.145","36.4%"
"5","","HOU","-0.062","40.9%","0.035","45.7%","-0.253","31.5%"
"6","","NE","-0.039","42.6%","0.009","44.2%","-0.138","39.5%"
"7","","JAX","-0.034","39.2%","0.023","44.1%","-0.127","31.5%"
"8","","DAL","-0.034","44.2%","0.060","48.5%","-0.193","36.8%"
"9","","IND","-0.028","45.6%","0.035","50.7%","-0.130","37.4%"
"10","","TEN","-0.016","42.9%","0.021","44.5%","-0.072","40.4%"
"11","","LAC","-0.014","44.6%","0.030","47.8%","-0.089","39.1%"
"12","","LA","-0.007","43.5%","0.040","46.5%","-0.088","38.1%"
"13","","SEA","0.002","45.6%","0.075","49.1%","-0.132","39.2%"
"14","","DEN","0.006","45.2%","0.065","49.8%","-0.090","37.7%"
"15","","CLE","0.006","45.7%","0.051","48.8%","-0.070","40.5%"
"16","","NO","0.016","44.2%","0.121","49.1%","-0.206","33.8%"
"17","","PHI","0.025","44.0%","0.081","47.1%","-0.105","36.8%"
"18","","NYJ","0.027","44.3%","0.085","46.6%","-0.069","40.3%"
"19","","PIT","0.028","42.7%","0.089","46.2%","-0.087","35.9%"
"20","","ARI","0.031","46.9%","0.043","50.3%","0.016","42.8%"
"21","","WAS","0.035","45.5%","0.079","48.0%","-0.041","41.3%"
"22","","DET","0.040","43.8%","0.132","48.6%","-0.100","36.4%"
"23","","CAR","0.056","43.0%","0.134","45.9%","-0.079","37.9%"
"24","","GB","0.056","44.3%","0.147","47.6%","-0.083","39.1%"
"25","","NYG","0.067","44.5%","0.133","47.0%","-0.038","40.3%"
"26","","MIA","0.068","46.0%","0.157","50.9%","-0.052","39.4%"
"27","","SF","0.069","44.0%","0.183","46.8%","-0.107","39.7%"
"28","","KC","0.074","48.7%","0.111","48.7%","0.005","48.5%"
"29","","ATL","0.088","47.4%","0.129","50.2%","0.016","42.4%"
"30","","TB","0.099","48.9%","0.194","53.1%","-0.048","42.4%"
"31","","CIN","0.105","50.0%","0.173","51.4%","0.003","48.0%"
"32","","LV","0.141","44.9%","0.253","48.3%","0.007","40.9%"
