"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","GB","0.142","47.1%","0.316","53.9%","-0.133","36.3%"
"2","","PIT","0.118","48.5%","0.238","52.7%","-0.083","41.5%"
"3","","DAL","0.117","46.6%","0.286","52.5%","-0.069","40.2%"
"4","","NE","0.089","46.4%","0.173","48.3%","-0.050","43.1%"
"5","","DEN","0.089","46.3%","0.187","50.6%","-0.062","39.7%"
"6","","SEA","0.087","44.0%","0.141","44.2%","0.022","43.7%"
"7","","BAL","0.068","44.2%","0.148","49.1%","-0.047","37.1%"
"8","","NO","0.067","47.9%","0.126","51.4%","-0.043","41.3%"
"9","","IND","0.030","45.9%","0.148","49.3%","-0.219","38.7%"
"10","","KC","0.023","42.4%","0.093","46.0%","-0.087","36.8%"
"11","","MIA","0.019","48.8%","0.065","49.7%","-0.063","47.2%"
"12","","LAC","0.017","43.4%","0.132","49.8%","-0.183","32.5%"
"13","","ATL","0.007","44.0%","0.089","49.4%","-0.161","33.0%"
"14","","PHI","-0.006","43.7%","0.062","46.6%","-0.113","39.2%"
"15","","DET","-0.006","41.8%","0.074","45.6%","-0.159","34.7%"
"16","","CAR","-0.007","44.6%","0.059","47.5%","-0.104","40.5%"
"17","","NYG","-0.014","41.2%","0.072","46.0%","-0.147","33.8%"
"18","","CIN","-0.019","42.0%","-0.017","45.2%","-0.021","38.0%"
"19","","ARI","-0.024","39.2%","0.056","41.8%","-0.165","34.6%"
"20","","SF","-0.029","42.5%","0.061","44.7%","-0.167","39.2%"
"21","","HOU","-0.031","40.7%","0.046","47.1%","-0.119","33.4%"
"22","","MIN","-0.034","42.2%","-0.018","43.6%","-0.061","39.8%"
"23","","WAS","-0.053","41.7%","-0.032","44.3%","-0.089","37.1%"
"24","","CHI","-0.055","44.2%","-0.032","46.1%","-0.104","40.1%"
"25","","CLE","-0.068","38.1%","-0.021","41.5%","-0.128","33.8%"
"26","","NYJ","-0.074","40.5%","-0.051","41.6%","-0.104","39.1%"
"27","","BUF","-0.077","41.0%","-0.030","43.6%","-0.158","36.5%"
"28","","TB","-0.111","38.5%","-0.069","41.7%","-0.190","32.4%"
"29","","LA","-0.118","41.9%","-0.084","46.6%","-0.170","34.5%"
"30","","TEN","-0.122","39.6%","-0.086","42.0%","-0.189","35.0%"
"31","","JAX","-0.162","37.5%","-0.186","39.0%","-0.114","34.6%"
"32","","LV","-0.172","37.2%","-0.130","40.6%","-0.259","30.0%"
