"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","HOU","-0.115","42.1%","-0.092","43.4%","-0.157","39.7%"
"2","","SEA","-0.111","40.8%","-0.037","44.6%","-0.231","34.8%"
"3","","DET","-0.103","41.7%","0.000","46.1%","-0.317","32.6%"
"4","","BUF","-0.103","41.2%","-0.083","43.5%","-0.139","37.1%"
"5","","DEN","-0.056","40.3%","0.007","44.4%","-0.204","30.7%"
"6","","ARI","-0.050","40.6%","-0.005","44.2%","-0.136","33.7%"
"7","","LA","-0.047","41.5%","0.033","46.8%","-0.174","33.1%"
"8","","GB","-0.040","45.4%","0.004","47.0%","-0.109","42.9%"
"9","","IND","-0.038","41.9%","0.016","45.1%","-0.122","36.9%"
"10","","BAL","-0.033","41.8%","0.063","46.9%","-0.217","32.3%"
"11","","CLE","-0.033","43.7%","-0.028","44.3%","-0.041","42.9%"
"12","","KC","-0.029","43.1%","-0.012","42.6%","-0.057","43.8%"
"13","","PHI","-0.027","41.6%","0.059","43.9%","-0.167","38.0%"
"14","","SF","-0.022","41.5%","0.030","44.9%","-0.108","35.8%"
"15","","NE","-0.021","43.8%","0.023","45.7%","-0.097","40.6%"
"16","","CIN","-0.011","43.8%","0.017","45.0%","-0.056","41.8%"
"17","","MIA","-0.006","42.4%","0.046","46.0%","-0.084","37.2%"
"18","","DAL","0.001","43.2%","0.055","47.7%","-0.093","35.5%"
"19","","CAR","0.005","42.0%","0.051","45.8%","-0.076","35.3%"
"20","","LAC","0.006","44.5%","0.110","47.8%","-0.152","39.7%"
"21","","JAX","0.009","42.8%","0.059","47.7%","-0.058","36.2%"
"22","","MIN","0.012","44.3%","0.060","45.6%","-0.059","42.3%"
"23","","NYG","0.020","42.5%","0.048","45.4%","-0.023","37.9%"
"24","","TB","0.034","45.2%","0.152","51.2%","-0.136","36.5%"
"25","","LV","0.035","42.6%","0.153","45.9%","-0.125","38.2%"
"26","","PIT","0.038","43.5%","0.117","48.3%","-0.104","34.8%"
"27","","NYJ","0.046","44.2%","0.141","47.8%","-0.112","38.2%"
"28","","TEN","0.071","44.1%","0.163","48.4%","-0.050","38.4%"
"29","","ATL","0.073","46.7%","0.156","52.2%","-0.052","38.4%"
"30","","WAS","0.074","42.5%","0.234","47.9%","-0.174","34.1%"
"31","","CHI","0.079","45.5%","0.167","50.2%","-0.064","37.8%"
"32","","NO","0.089","44.8%","0.160","48.5%","-0.021","39.2%"
