"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","LA","-0.164","39.3%","-0.150","41.8%","-0.190","34.7%"
"2","","PIT","-0.106","39.0%","-0.113","39.7%","-0.093","37.9%"
"3","","WAS","-0.084","41.8%","-0.062","43.0%","-0.119","39.9%"
"4","","NO","-0.044","43.4%","0.016","46.1%","-0.151","38.6%"
"5","","TB","-0.037","42.0%","0.043","46.5%","-0.209","32.1%"
"6","","BAL","-0.028","43.6%","0.022","47.2%","-0.126","36.4%"
"7","","MIA","-0.023","46.1%","-0.028","47.8%","-0.016","43.2%"
"8","","SF","-0.014","43.8%","0.057","47.1%","-0.132","38.3%"
"9","","IND","-0.009","45.8%","0.047","49.0%","-0.108","39.9%"
"10","","CHI","0.017","42.6%","0.105","47.4%","-0.123","35.0%"
"11","","PHI","0.025","43.1%","0.085","47.6%","-0.057","36.9%"
"12","","GB","0.026","46.8%","0.065","49.1%","-0.039","42.8%"
"13","","LAC","0.028","44.5%","0.110","46.1%","-0.104","41.9%"
"14","","ARI","0.032","46.0%","0.091","48.8%","-0.073","41.1%"
"15","","BUF","0.035","47.6%","0.065","49.1%","-0.018","45.1%"
"16","","NYG","0.037","46.6%","0.103","52.0%","-0.072","37.8%"
"17","","DEN","0.041","44.1%","0.080","47.0%","-0.025","39.3%"
"18","","SEA","0.045","45.7%","0.125","48.8%","-0.131","39.0%"
"19","","KC","0.065","47.4%","0.099","49.3%","0.009","44.3%"
"20","","ATL","0.071","47.6%","0.178","50.6%","-0.147","41.7%"
"21","","DAL","0.072","46.3%","0.124","47.8%","0.004","44.3%"
"22","","NE","0.075","48.6%","0.114","50.3%","0.022","46.4%"
"23","","CLE","0.081","46.6%","0.145","47.3%","-0.031","45.5%"
"24","","CAR","0.087","47.7%","0.147","49.5%","-0.021","44.5%"
"25","","MIN","0.095","50.0%","0.150","52.3%","0.019","46.9%"
"26","","CIN","0.098","46.1%","0.173","49.3%","-0.009","41.5%"
"27","","NYJ","0.106","46.9%","0.246","54.2%","-0.123","35.1%"
"28","","TEN","0.131","48.5%","0.224","53.0%","-0.031","40.7%"
"29","","LV","0.137","46.2%","0.206","48.6%","0.026","42.2%"
"30","","JAX","0.168","49.3%","0.302","55.5%","-0.006","41.2%"
"31","","HOU","0.168","50.1%","0.252","53.4%","0.058","45.8%"
"32","","DET","0.205","51.3%","0.332","55.3%","0.027","45.6%"
