"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","NE","0.137","49.2%","0.254","51.8%","-0.042","45.0%"
"2","","NO","0.092","45.3%","0.137","49.1%","0.029","40.0%"
"3","","LAC","0.085","44.9%","0.191","49.5%","-0.082","37.5%"
"4","","KC","0.082","44.2%","0.171","48.8%","-0.072","36.4%"
"5","","PIT","0.076","46.1%","0.178","50.7%","-0.085","38.8%"
"6","","LA","0.054","43.3%","0.131","44.8%","-0.050","41.2%"
"7","","PHI","0.051","43.3%","0.144","46.3%","-0.093","38.9%"
"8","","ATL","0.047","45.0%","0.185","50.9%","-0.152","36.4%"
"9","","MIN","0.026","42.5%","0.155","48.1%","-0.142","35.2%"
"10","","JAX","0.020","41.7%","0.095","46.4%","-0.071","36.2%"
"11","","DAL","0.007","43.9%","-0.007","44.3%","0.026","43.3%"
"12","","TB","0.004","44.2%","0.090","50.1%","-0.167","32.5%"
"13","","CAR","-0.018","41.3%","0.040","44.0%","-0.096","37.8%"
"14","","GB","-0.023","45.2%","-0.018","45.9%","-0.032","43.7%"
"15","","SEA","-0.023","41.2%","0.060","46.4%","-0.192","30.7%"
"16","","SF","-0.041","41.2%","-0.001","44.0%","-0.110","36.4%"
"17","","DET","-0.046","40.8%","0.074","46.8%","-0.278","29.3%"
"18","","LV","-0.049","41.2%","-0.001","43.9%","-0.131","36.5%"
"19","","WAS","-0.051","40.8%","0.041","46.0%","-0.203","32.4%"
"20","","BAL","-0.052","42.5%","-0.054","42.8%","-0.050","42.2%"
"21","","HOU","-0.052","40.4%","-0.004","44.1%","-0.126","34.8%"
"22","","TEN","-0.070","42.6%","-0.057","44.2%","-0.087","40.3%"
"23","","BUF","-0.070","39.0%","-0.019","41.8%","-0.138","35.1%"
"24","","NYJ","-0.073","38.5%","-0.000","44.0%","-0.181","30.3%"
"25","","CIN","-0.088","39.2%","-0.050","42.0%","-0.150","34.6%"
"26","","NYG","-0.106","41.1%","-0.099","43.8%","-0.119","36.4%"
"27","","IND","-0.107","38.7%","-0.102","40.5%","-0.115","36.0%"
"28","","CHI","-0.112","38.5%","-0.099","40.5%","-0.130","35.9%"
"29","","DEN","-0.119","38.4%","-0.110","40.6%","-0.134","34.8%"
"30","","MIA","-0.124","39.3%","-0.086","42.3%","-0.197","33.6%"
"31","","ARI","-0.129","38.8%","-0.086","42.3%","-0.207","32.5%"
"32","","CLE","-0.146","38.4%","-0.169","38.0%","-0.096","39.2%"
