"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","BUF","-0.111","40.2%","-0.114","41.9%","-0.107","37.5%"
"2","","NO","-0.101","39.6%","-0.070","43.1%","-0.157","33.1%"
"3","","DAL","-0.089","41.0%","-0.111","41.8%","-0.048","39.5%"
"4","","NE","-0.063","42.5%","-0.051","44.9%","-0.080","38.9%"
"5","","TB","-0.063","43.1%","-0.041","45.1%","-0.117","38.1%"
"6","","ARI","-0.062","43.9%","-0.021","46.4%","-0.130","39.9%"
"7","","CAR","-0.031","41.2%","0.029","44.8%","-0.111","36.4%"
"8","","MIA","-0.027","43.0%","-0.016","44.7%","-0.046","40.2%"
"9","","LA","-0.025","44.5%","0.028","47.5%","-0.116","39.3%"
"10","","TEN","-0.018","42.6%","0.011","44.0%","-0.082","39.5%"
"11","","CIN","-0.014","43.6%","0.021","45.5%","-0.080","39.9%"
"12","","MIN","-0.004","45.5%","-0.001","47.4%","-0.008","42.4%"
"13","","IND","0.000","45.4%","0.063","49.6%","-0.112","38.1%"
"14","","SF","0.004","41.7%","0.098","46.2%","-0.151","34.2%"
"15","","DEN","0.005","45.1%","0.049","45.9%","-0.067","43.8%"
"16","","PIT","0.006","43.5%","0.025","45.3%","-0.022","41.1%"
"17","","PHI","0.009","46.2%","0.063","48.7%","-0.077","42.4%"
"18","","CLE","0.019","42.0%","0.038","42.7%","-0.014","41.0%"
"19","","GB","0.020","46.6%","0.032","47.1%","-0.004","45.7%"
"20","","SEA","0.024","46.4%","0.109","51.4%","-0.110","38.4%"
"21","","NYG","0.028","46.4%","0.048","47.7%","-0.001","44.4%"
"22","","CHI","0.032","44.5%","0.076","46.6%","-0.023","41.9%"
"23","","KC","0.038","47.1%","0.097","47.4%","-0.071","46.6%"
"24","","LAC","0.044","46.8%","0.079","46.6%","-0.004","47.2%"
"25","","LV","0.061","44.5%","0.167","48.2%","-0.115","38.4%"
"26","","HOU","0.077","48.1%","0.161","52.5%","-0.029","42.7%"
"27","","BAL","0.078","43.2%","0.182","47.2%","-0.124","35.5%"
"28","","ATL","0.080","48.2%","0.187","51.4%","-0.066","43.9%"
"29","","WAS","0.080","45.1%","0.182","49.5%","-0.102","37.2%"
"30","","DET","0.102","46.3%","0.199","50.0%","-0.026","41.4%"
"31","","JAX","0.111","47.0%","0.226","51.3%","-0.047","41.2%"
"32","","NYJ","0.139","47.9%","0.259","52.4%","-0.027","41.7%"
