"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","DEN","-0.130","37.1%","-0.101","41.2%","-0.183","29.7%"
"2","","CAR","-0.122","38.9%","-0.100","41.2%","-0.171","33.8%"
"3","","HOU","-0.102","40.3%","-0.091","43.6%","-0.124","34.2%"
"4","","NYJ","-0.099","37.5%","-0.034","41.9%","-0.229","28.7%"
"5","","KC","-0.097","39.2%","-0.061","42.2%","-0.169","33.1%"
"6","","ARI","-0.095","40.7%","-0.017","44.4%","-0.245","33.7%"
"7","","SEA","-0.080","40.7%","-0.044","42.1%","-0.148","37.9%"
"8","","LA","-0.071","42.2%","-0.003","46.7%","-0.185","34.5%"
"9","","CIN","-0.060","43.0%","-0.036","45.0%","-0.113","38.4%"
"10","","NE","-0.046","40.3%","0.026","43.8%","-0.180","33.7%"
"11","","GB","-0.046","41.4%","-0.029","42.4%","-0.073","39.8%"
"12","","PIT","-0.045","42.6%","0.030","47.5%","-0.192","33.1%"
"13","","MIN","-0.034","43.8%","0.029","47.1%","-0.140","38.0%"
"14","","IND","0.003","41.4%","0.094","45.7%","-0.141","34.6%"
"15","","WAS","0.003","44.1%","0.086","45.5%","-0.135","41.6%"
"16","","LV","0.013","44.5%","0.073","47.9%","-0.106","38.0%"
"17","","ATL","0.015","45.2%","0.097","48.6%","-0.117","39.7%"
"18","","TEN","0.021","43.4%","0.149","47.6%","-0.151","37.6%"
"19","","BUF","0.022","43.2%","0.055","44.2%","-0.038","41.4%"
"20","","PHI","0.027","44.2%","0.058","47.1%","-0.023","39.6%"
"21","","CHI","0.040","45.1%","0.133","46.3%","-0.105","43.4%"
"22","","LAC","0.043","42.8%","0.093","44.7%","-0.033","39.9%"
"23","","DET","0.045","43.4%","0.156","48.9%","-0.131","34.8%"
"24","","JAX","0.047","43.6%","0.153","48.9%","-0.126","35.0%"
"25","","TB","0.047","46.3%","0.170","51.2%","-0.121","39.6%"
"26","","BAL","0.048","42.5%","0.172","47.3%","-0.159","34.4%"
"27","","DAL","0.049","44.3%","0.126","46.1%","-0.058","41.7%"
"28","","MIA","0.052","44.2%","0.169","48.9%","-0.101","38.0%"
"29","","SF","0.063","45.9%","0.164","50.4%","-0.075","39.8%"
"30","","NYG","0.063","45.9%","0.140","49.4%","-0.066","40.0%"
"31","","CLE","0.087","44.3%","0.194","48.6%","-0.061","38.6%"
"32","","NO","0.143","47.9%","0.312","53.5%","-0.124","39.2%"
