"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","GB","0.221","50.7%","0.354","55.0%","0.025","44.3%"
"2","","TEN","0.189","50.8%","0.297","54.3%","0.069","46.9%"
"3","","KC","0.177","50.2%","0.288","54.3%","-0.056","41.5%"
"4","","BUF","0.169","50.4%","0.298","55.4%","-0.081","40.7%"
"5","","TB","0.149","46.9%","0.239","50.4%","-0.032","39.9%"
"6","","BAL","0.109","45.2%","0.125","46.3%","0.093","44.1%"
"7","","SEA","0.105","48.9%","0.164","51.3%","-0.014","44.0%"
"8","","NO","0.096","47.8%","0.140","49.5%","0.039","45.6%"
"9","","HOU","0.093","47.8%","0.211","53.1%","-0.193","34.9%"
"10","","CLE","0.091","46.9%","0.193","52.4%","-0.034","40.1%"
"11","","MIN","0.089","49.1%","0.175","52.3%","-0.025","44.8%"
"12","","IND","0.083","46.8%","0.181","49.9%","-0.047","42.6%"
"13","","LV","0.065","47.3%","0.155","51.6%","-0.069","41.0%"
"14","","ARI","0.050","45.9%","0.087","49.6%","-0.009","40.0%"
"15","","LAC","0.044","43.8%","0.154","47.9%","-0.140","37.1%"
"16","","ATL","0.042","44.3%","0.144","49.1%","-0.148","35.5%"
"17","","PIT","0.035","43.9%","0.118","46.9%","-0.134","37.9%"
"18","","MIA","0.027","46.9%","0.115","51.4%","-0.120","39.3%"
"19","","CAR","0.019","45.8%","0.075","48.4%","-0.082","41.3%"
"20","","DET","0.014","45.5%","0.103","49.8%","-0.156","37.3%"
"21","","SF","0.010","45.9%","0.089","48.4%","-0.107","42.1%"
"22","","NE","0.004","46.5%","-0.038","46.7%","0.050","46.3%"
"23","","LA","-0.013","44.6%","0.032","47.4%","-0.081","40.4%"
"24","","CHI","-0.016","44.0%","0.014","47.7%","-0.073","37.2%"
"25","","DAL","-0.029","46.1%","-0.004","49.1%","-0.073","40.8%"
"26","","CIN","-0.041","44.2%","0.005","46.2%","-0.122","40.7%"
"27","","JAX","-0.049","42.0%","-0.034","45.0%","-0.084","35.4%"
"28","","WAS","-0.051","42.1%","-0.063","42.9%","-0.028","40.6%"
"29","","PHI","-0.055","41.9%","-0.043","41.2%","-0.079","43.3%"
"30","","NYG","-0.057","42.1%","-0.051","43.4%","-0.067","39.9%"
"31","","DEN","-0.071","40.3%","-0.051","42.5%","-0.102","36.7%"
"32","","NYJ","-0.116","41.0%","-0.098","41.8%","-0.146","39.6%"
