"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","ARI","0.133","47.7%","0.260","52.3%","-0.059","40.8%"
"2","","SEA","0.105","47.1%","0.255","51.7%","-0.105","40.6%"
"3","","NE","0.089","44.0%","0.174","46.6%","-0.074","39.0%"
"4","","NO","0.080","44.6%","0.160","48.1%","-0.077","37.8%"
"5","","PIT","0.077","45.8%","0.136","49.2%","-0.034","39.3%"
"6","","CIN","0.076","45.3%","0.229","51.1%","-0.144","37.1%"
"7","","CAR","0.074","45.5%","0.153","48.1%","-0.022","42.3%"
"8","","KC","0.033","44.0%","0.067","45.9%","-0.023","40.9%"
"9","","NYG","0.025","44.0%","0.106","47.2%","-0.119","38.5%"
"10","","BUF","0.025","40.8%","0.074","43.0%","-0.039","37.9%"
"11","","NYJ","0.023","41.8%","0.126","45.9%","-0.149","34.9%"
"12","","WAS","0.022","42.6%","0.166","48.7%","-0.191","33.5%"
"13","","MIN","0.022","40.7%","0.050","42.5%","-0.013","38.5%"
"14","","TB","0.008","44.4%","0.106","47.6%","-0.141","39.7%"
"15","","GB","0.002","42.3%","0.075","45.1%","-0.134","37.2%"
"16","","ATL","0.000","46.4%","0.113","50.9%","-0.195","38.6%"
"17","","LAC","-0.018","42.7%","0.078","48.1%","-0.206","32.1%"
"18","","DET","-0.019","44.9%","0.045","48.9%","-0.160","35.9%"
"19","","CHI","-0.020","42.8%","0.051","45.2%","-0.111","39.7%"
"20","","MIA","-0.033","40.5%","0.008","42.7%","-0.112","36.0%"
"21","","LV","-0.041","40.4%","0.015","44.3%","-0.151","33.0%"
"22","","PHI","-0.044","42.7%","-0.008","44.7%","-0.105","39.4%"
"23","","JAX","-0.053","42.0%","0.040","45.4%","-0.255","34.7%"
"24","","HOU","-0.054","40.4%","0.021","45.9%","-0.171","32.0%"
"25","","DEN","-0.070","40.4%","-0.041","43.9%","-0.119","34.3%"
"26","","DAL","-0.073","43.9%","-0.070","46.8%","-0.077","39.3%"
"27","","CLE","-0.073","41.2%","-0.023","43.7%","-0.182","35.6%"
"28","","BAL","-0.081","42.5%","-0.034","44.4%","-0.170","38.8%"
"29","","IND","-0.082","40.2%","-0.022","43.5%","-0.206","33.3%"
"30","","SF","-0.091","38.8%","-0.060","40.3%","-0.150","36.0%"
"31","","TEN","-0.103","41.2%","-0.050","45.3%","-0.200","33.8%"
"32","","LA","-0.146","38.0%","-0.156","39.4%","-0.134","36.4%"
