"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","ATL","0.196","49.5%","0.323","54.5%","0.001","41.8%"
"2","","NE","0.128","44.3%","0.276","49.3%","-0.077","37.3%"
"3","","GB","0.127","45.9%","0.243","50.2%","-0.138","35.9%"
"4","","DAL","0.126","48.6%","0.226","52.4%","0.005","44.1%"
"5","","WAS","0.118","48.2%","0.202","53.4%","-0.033","38.9%"
"6","","NO","0.100","48.2%","0.160","51.7%","-0.011","41.8%"
"7","","PIT","0.085","46.0%","0.164","48.5%","-0.043","42.1%"
"8","","DET","0.054","45.4%","0.166","50.5%","-0.187","34.4%"
"9","","BUF","0.053","44.7%","0.072","44.2%","0.028","45.5%"
"10","","CIN","0.052","45.3%","0.116","49.5%","-0.050","38.7%"
"11","","IND","0.045","45.9%","0.127","49.5%","-0.117","38.8%"
"12","","LV","0.043","43.4%","0.119","46.0%","-0.081","39.1%"
"13","","TEN","0.037","45.5%","0.103","47.1%","-0.049","43.4%"
"14","","SEA","0.022","44.0%","0.102","48.9%","-0.126","34.9%"
"15","","KC","0.012","42.7%","0.084","46.1%","-0.105","37.0%"
"16","","LAC","0.011","42.7%","0.091","46.7%","-0.120","36.1%"
"17","","ARI","-0.005","45.3%","0.043","47.6%","-0.092","41.2%"
"18","","TB","-0.005","43.9%","0.118","49.6%","-0.208","34.5%"
"19","","MIA","-0.005","42.1%","0.062","47.1%","-0.095","35.3%"
"20","","PHI","-0.017","43.8%","0.046","44.9%","-0.121","42.1%"
"21","","MIN","-0.041","42.5%","0.075","47.9%","-0.250","32.8%"
"22","","CHI","-0.042","44.1%","-0.001","47.0%","-0.111","39.2%"
"23","","CAR","-0.048","40.9%","-0.038","43.1%","-0.062","37.7%"
"24","","CLE","-0.054","39.0%","-0.015","39.7%","-0.135","37.8%"
"25","","DEN","-0.059","41.0%","-0.004","44.7%","-0.153","34.5%"
"26","","JAX","-0.060","41.3%","0.014","45.2%","-0.210","33.4%"
"27","","BAL","-0.060","40.7%","-0.041","43.0%","-0.101","35.8%"
"28","","NYJ","-0.069","40.5%","-0.069","42.0%","-0.070","38.2%"
"29","","NYG","-0.074","40.8%","-0.035","44.7%","-0.142","34.3%"
"30","","HOU","-0.079","41.9%","-0.029","46.6%","-0.154","34.6%"
"31","","SF","-0.090","39.6%","-0.036","41.5%","-0.171","36.7%"
"32","","LA","-0.202","36.6%","-0.222","37.4%","-0.168","35.3%"
