"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","BAL","0.203","48.1%","0.322","49.8%","0.088","46.4%"
"2","","KC","0.135","47.0%","0.246","50.6%","-0.094","39.4%"
"3","","DAL","0.111","48.7%","0.192","52.3%","-0.017","43.0%"
"4","","NO","0.084","47.1%","0.172","50.8%","-0.067","40.6%"
"5","","SF","0.077","44.8%","0.194","51.0%","-0.061","37.5%"
"6","","TEN","0.063","45.7%","0.143","49.1%","-0.046","40.9%"
"7","","GB","0.059","44.0%","0.125","45.7%","-0.063","40.8%"
"8","","HOU","0.057","45.5%","0.132","49.3%","-0.073","39.0%"
"9","","MIN","0.056","42.1%","0.177","48.0%","-0.082","35.3%"
"10","","LV","0.037","44.8%","0.145","49.2%","-0.110","38.7%"
"11","","LAC","0.036","47.3%","0.118","51.1%","-0.118","40.2%"
"12","","SEA","0.018","45.5%","0.119","49.6%","-0.135","39.4%"
"13","","ARI","0.015","42.8%","0.020","43.1%","0.008","42.1%"
"14","","ATL","0.015","44.5%","0.089","48.7%","-0.157","34.8%"
"15","","NE","0.010","42.6%","0.065","43.4%","-0.078","41.1%"
"16","","IND","0.009","44.5%","-0.001","45.5%","0.022","43.2%"
"17","","PHI","0.004","44.9%","0.069","48.0%","-0.105","39.6%"
"18","","LA","0.001","44.4%","0.089","46.3%","-0.159","40.8%"
"19","","TB","0.000","43.6%","0.084","48.7%","-0.168","33.4%"
"20","","BUF","-0.024","41.7%","0.020","43.6%","-0.088","38.9%"
"21","","CLE","-0.027","41.3%","0.025","43.7%","-0.116","37.3%"
"22","","DET","-0.039","41.5%","0.049","44.6%","-0.193","36.0%"
"23","","JAX","-0.053","39.3%","-0.010","41.9%","-0.145","33.8%"
"24","","DEN","-0.054","40.2%","-0.019","42.4%","-0.110","36.9%"
"25","","NYG","-0.064","41.8%","-0.034","42.8%","-0.129","39.8%"
"26","","MIA","-0.076","41.5%","0.002","46.2%","-0.268","30.1%"
"27","","CHI","-0.080","41.1%","-0.020","45.0%","-0.189","33.8%"
"28","","CAR","-0.087","43.2%","-0.070","45.3%","-0.120","39.1%"
"29","","CIN","-0.096","40.4%","-0.074","42.5%","-0.138","36.3%"
"30","","WAS","-0.130","38.9%","-0.110","43.5%","-0.164","31.2%"
"31","","PIT","-0.136","38.5%","-0.061","41.9%","-0.258","33.1%"
"32","","NYJ","-0.155","37.3%","-0.118","40.5%","-0.216","32.0%"
