"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","DEN","-0.119","39.0%","-0.148","40.7%","-0.077","36.7%"
"2","","ARI","-0.090","40.7%","-0.038","43.8%","-0.177","35.6%"
"3","","MIN","-0.089","42.1%","-0.007","46.7%","-0.222","34.4%"
"4","","NYG","-0.085","38.2%","-0.026","40.9%","-0.193","33.3%"
"5","","HOU","-0.053","41.0%","0.021","43.4%","-0.171","37.1%"
"6","","SEA","-0.052","40.9%","0.059","43.9%","-0.213","36.6%"
"7","","NE","-0.045","42.9%","0.000","45.4%","-0.131","38.0%"
"8","","BAL","-0.036","42.1%","0.050","47.3%","-0.189","33.0%"
"9","","PHI","-0.028","41.4%","0.003","44.1%","-0.083","36.6%"
"10","","KC","-0.024","45.6%","0.009","46.1%","-0.078","44.8%"
"11","","LAC","-0.017","44.4%","0.055","49.0%","-0.144","36.4%"
"12","","JAX","-0.016","40.8%","0.044","44.6%","-0.110","35.0%"
"13","","CAR","-0.003","43.0%","0.050","47.6%","-0.110","33.7%"
"14","","TB","0.003","44.7%","0.031","47.3%","-0.042","40.5%"
"15","","MIA","0.012","44.7%","0.050","45.8%","-0.049","42.9%"
"16","","PIT","0.014","43.1%","0.056","45.5%","-0.067","38.4%"
"17","","DAL","0.015","46.1%","0.088","49.8%","-0.145","37.9%"
"18","","BUF","0.019","42.7%","0.097","45.4%","-0.087","39.1%"
"19","","CIN","0.020","43.4%","0.059","44.8%","-0.049","40.8%"
"20","","LA","0.021","41.4%","0.081","47.0%","-0.082","31.9%"
"21","","TEN","0.035","43.0%","0.140","47.2%","-0.192","33.8%"
"22","","LV","0.043","43.8%","0.109","46.9%","-0.060","39.0%"
"23","","NYJ","0.045","41.8%","0.195","47.9%","-0.185","32.4%"
"24","","ATL","0.049","46.5%","0.093","48.1%","-0.047","42.9%"
"25","","GB","0.062","45.7%","0.137","50.5%","-0.078","36.5%"
"26","","CHI","0.069","45.0%","0.146","48.9%","-0.050","39.0%"
"27","","WAS","0.072","47.1%","0.158","50.2%","-0.068","42.0%"
"28","","IND","0.073","47.9%","0.143","51.2%","-0.047","42.2%"
"29","","NO","0.085","47.2%","0.184","51.4%","-0.092","39.5%"
"30","","SF","0.088","44.6%","0.160","47.6%","0.004","41.0%"
"31","","DET","0.108","49.1%","0.223","52.0%","-0.089","44.1%"
"32","","CLE","0.136","45.6%","0.246","49.8%","-0.004","40.3%"
